"","team","point.Freq"
"1","Chennai Super Kings",24
"2","Mumbai Indians",24
"3","Sunrisers Hyderabad",20
"4","Delhi Capitals",12
"5","Rajasthan Royals",12
"6","Kolkata Knight Riders",8
"7","Royal Challengers Bangalore",8
"8","Kings XI Punjab",4
